Reflección Table
No,Aptitud,Factible
1,-0.07773928266541005,0
2,-0.07608799722888848,0
3,-0.07542261422690756,0
4,-0.07356351047723289,0
5,-0.0641617872422728,0
6,-0.07420479829435325,0
7,-0.07518585061494455,0
8,-0.07591336421942195,0
9,-0.07871671911591255,0
10,-0.08448997195619264,0
11,-0.06897512267412995,0
12,-0.06791083061374921,0
13,-0.0724552344733247,0
14,-0.07522645406941646,0
15,-0.07039171552149116,0
16,-0.07963635205984088,0
17,-0.0685344882237275,0
18,-0.07916546493027092,0
19,-0.06976214575768085,0
20,-0.06670100484782737,0
21,-0.09234492005976819,0
22,-0.0750101766498202,0
23,-0.07048746403255883,0
24,-0.07452180109276965,0
25,-0.07691896870607495,0
